,description,boot_space
11,"The Toyota Aygo X has a length of 3700 mm, a height of 1510 mm and a width of 1740 mm without the exterior mirrors. Motorization: petrol. Because of its exterior size, we classify the Toyota Aygo X in the category of small cars. This model from the year 2022  stands out for being 235 mm longer compared to the dimensions of the 2018 Toyota Aygo.Do you like the new generation size change? 👍 👎",Boot space: 231 liters.
12,"The Suzuki Swift has a length of 3840 mm, a height of 1495 mm and a width of 1735 mm without the exterior mirrors. Motorization: petrol and  petrol mild hybrid. The mild hybrid model is called Swift Hybrid SHVS. Because of its exterior size, we classify the Suzuki Swift in the category of small cars. This model from the year 2017 is 10 mm shorter, 40 mm wider and 15 mm lower compared to the dimensions of the 2013 Suzuki Swift.Do you like the trend of larger cars? 👍 👎",Boot space: 265 liters.
13,"The Mitsubishi Space Star has a length of 3845 mm, a height of 1505 mm and a width of 1665 mm without the exterior mirrors. Motorization: petrol. Because of its exterior size, we classify the Mitsubishi Space Star in the category of small cars. This model from the year 2020 is 50 mm longer, has the same width and 5 mm lower compared to the dimensions of the 2016 Mitsubishi Space Star.Do you like the trend of larger cars? 👍 👎",Boot space: 209 liters.
14,"The MINI 3-door has a length of 3863 mm, a height of 1414 mm, a width of 1727 mm without the exterior mirrors and a measurement of 1932 millimeters with the mirrors unfolded. Motorization: petrol and  electric. The electric model is called Electric and has a boot space of 211 liters. Because of its exterior size, we classify the MINI 3-door in the category of small cars. This model from the year 2021 is 42 mm longer, has the same width and has the same height compared to the dimensions of the 2018 MINI 3-door.Do you like the trend of larger cars? 👍 👎",Boot space: 211 liters.
15,"The Honda e has a length of 3894 mm, a height of 1512 mm, a width of 1752 mm without the exterior mirrors and a measurement of 1752 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the Honda e in the category of small cars.Do you like the trend of larger cars? 👍 👎",Boot space: 171 liters.
16,"The Mazda 2 Hybrid has a length of 3940 mm, a height of 1500 mm, a width of 1745 mm without the exterior mirrors and a measurement of 2020 millimeters with the mirrors unfolded. Motorization: petrol hybrid. Because of its exterior size, we classify the Mazda 2 Hybrid in the category of small cars.Do you like the trend of larger cars? 👍 👎",Boot space: 286 liters.
17,"The Toyota Yaris has a length of 3940 mm, a height of 1470 mm and a width of 1745 mm without the exterior mirrors. Motorization: petrol and  petrol hybrid. Because of its exterior size, we classify the Toyota Yaris in the category of small cars. This model from the year 2020 is 5 mm shorter, 50 mm wider and 40 mm lower compared to the dimensions of the 2017 Toyota Yaris.Do you like the trend of larger cars? 👍 👎",Boot space: 286 liters.
18,"The Citroen C3 has a length of 4015 mm, a height of 1577 mm and a width of 1755 mm without the exterior mirrors. Motorization: electric. The electric model is called ë-C3. Because of its exterior size, we classify the Citroen C3 in the category of small cars. This new model is 19 mm longer, 6 mm wider and 103 mm higher compared to the dimensions of the 2020 Citroen C3.Do you like the trend of larger cars? 👍 👎",Boot space: 310 liters.
19,"The Nissan Micra has a length of 3999 mm, a height of 1455 mm, a width of 1743 mm without the exterior mirrors and a measurement of 1935 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the Nissan Micra in the category of small cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Nissan Micra.Do you like the trend of larger cars? 👍 👎",Boot space: 300 liters.
20,"The BMW i3 has a length of 4011 mm, a height of 1578 mm, a width of 1775 mm without the exterior mirrors and a measurement of 2039 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the BMW i3 in the category of small cars. This model from the year 2018 is the same size compared to the dimensions of the 2013 BMW i3.Do you like the trend of larger cars? 👍 👎",Boot space: 260 liters.
21,"The Citroen C3 has a length of 4015 mm, a height of 1577 mm and a width of 1755 mm without the exterior mirrors. Motorization: electric. The electric model is called ë-C3. Because of its exterior size, we classify the Citroen C3 in the category of small cars. This new model is 19 mm longer, 6 mm wider and 103 mm higher compared to the dimensions of the 2020 Citroen C3.Do you like the trend of larger cars? 👍 👎",Boot space: 310 liters.
22,"The MINI 5-door has a length of 4023 mm, a height of 1425 mm, a width of 1727 mm without the exterior mirrors and a measurement of 1932 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the MINI 5-door in the category of small cars. This model from the year 2021 is 41 mm longer, has the same width and has the same height compared to the dimensions of the 2018 MINI 5-door.Do you like the trend of larger cars? 👍 👎",Boot space: 278 liters.
23,"The Audi A1 Sportback has a length of 4029 mm, a height of 1409 mm, a width of 1740 mm without the exterior mirrors and a measurement of 1940 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the Audi A1 Sportback in the category of small cars. This model from the year 2019 is 56 mm longer, 6 mm narrower and 13 mm lower compared to the dimensions of the 2015 Audi A1 Sportback.Do you like the trend of larger cars? 👍 👎",Boot space: 335 liters.
24,"The Hyundai i20 has a length of 4065 mm, a height of 1450 mm and a width of 1775 mm without the exterior mirrors. Motorization: petrol and  petrol mild hybrid. The mild hybrid model is called i20 48V. Because of its exterior size, we classify the Hyundai i20 in the category of small cars. This model from the year 2023 is 25 mm longer, has the same width and has the same height compared to the dimensions of the 2021 Hyundai i20.Do you like the trend of larger cars? 👍 👎",Boot space: 352 liters.
25,"The Ford Fiesta has a length of 4040 mm, a height of 1476 mm, a width of 1735 mm without the exterior mirrors and a measurement of 1941 millimeters with the mirrors unfolded. Motorization: petrol and  petrol mild hybrid. Because of its exterior size, we classify the Ford Fiesta in the category of small cars. This model from the year 2022 is the same size compared to the dimensions of the 2017 Ford Fiesta.Do you like the trend of larger cars? 👍 👎",Boot space: 311 liters.
26,"The Honda Jazz has a length of 4044 mm, a height of 1526 mm, a width of 1694 mm without the exterior mirrors and a measurement of 1966 millimeters with the mirrors unfolded. Motorization: petrol hybrid. Because of its exterior size, we classify the Honda Jazz in the category of small cars. This model from the year 2023 is the same size compared to the dimensions of the 2020 Honda Jazz.Do you like the trend of larger cars? 👍 👎",Boot space: 304 liters.
27,"The Volkswagen ID.2all has a length of 4050 mm, a height of 1530 mm and a width of 1812 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the Volkswagen ID.2all in the category of small cars.Do you like the trend of larger cars? 👍 👎",Boot space: 490 liters.
28,"The Renault Clio has a length of 4053 mm, a height of 1439 mm, a width of 1798 mm without the exterior mirrors and a measurement of 1988 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol hybrid. The hybrid model is called Clio E-TECH Hybrid and has a boot space of 254* liters. Because of its exterior size, we classify the Renault Clio in the category of small cars. This model from the year 2023 is the same size compared to the dimensions of the 2019 Renault Clio.Do you like the trend of larger cars? 👍 👎",Boot space: 254* - 340 liters.
29,"The Mitsubishi COLT has a length of 4053 mm, a height of 1439 mm, a width of 1798 mm without the exterior mirrors and a measurement of 1988 millimeters with the mirrors unfolded. Motorization: petrol and  petrol hybrid. The hybrid model is called COLT HEV and has a boot space of 254* liters. Because of its exterior size, we classify the Mitsubishi COLT in the category of small cars. This new model  stands out for being 113 mm longer compared to the dimensions of the 2009 Mitsubishi COLT.Do you like the new generation size change? 👍 👎",Boot space: 254* - 340 liters.
30,"The Peugeot 208 has a length of 4055 mm, a height of 1430 mm, a width of 1745 mm without the exterior mirrors and a measurement of 1960 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  electric. The electric model is called e-208 and has a boot space of 265* liters. Because of its exterior size, we classify the Peugeot 208 in the category of small cars. This model from the year 2020  stands out for being 93 mm longer compared to the dimensions of the 2015 Peugeot 208.Do you like the new generation size change? 👍 👎",Boot space: 265* - 309 liters.
31,"The Seat Ibiza has a length of 4059 mm, a height of 1447 mm, a width of 1780 mm without the exterior mirrors and a measurement of 1942 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the Seat Ibiza in the category of small cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Seat Ibiza.Do you like the trend of larger cars? 👍 👎",Boot space: 355 liters.
32,"The Opel Corsa has a length of 4060 mm, a height of 1433 mm, a width of 1765 mm without the exterior mirrors and a measurement of 1960 millimeters with the mirrors unfolded. Motorization: petrol,  petrol mild hybrid and  electric. The electric model is called Corsa Electric and has a boot space of 267* liters. Because of its exterior size, we classify the Opel Corsa in the category of small cars. This new model is the same size compared to the dimensions of the 2020 Opel Corsa.Do you like the trend of larger cars? 👍 👎",Boot space: 267* - 309 liters.
33,"The Kia Rio has a length of 4065 mm, a height of 1450 mm and a width of 1725 mm without the exterior mirrors. Motorization: petrol and  petrol mild hybrid. The mild hybrid model is called Rio MHEV. Because of its exterior size, we classify the Kia Rio in the category of small cars. This model from the year 2021 is the same size compared to the dimensions of the 2017 Kia Rio.Do you like the trend of larger cars? 👍 👎",Boot space: 325 liters.
34,"The Hyundai i20 has a length of 4065 mm, a height of 1450 mm and a width of 1775 mm without the exterior mirrors. Motorization: petrol and  petrol mild hybrid. The mild hybrid model is called i20 48V. Because of its exterior size, we classify the Hyundai i20 in the category of small cars. This model from the year 2023 is 25 mm longer, has the same width and has the same height compared to the dimensions of the 2021 Hyundai i20.Do you like the trend of larger cars? 👍 👎",Boot space: 352 liters.
35,"The Volkswagen Polo has a length of 4074 mm, a height of 1446 mm, a width of 1751 mm without the exterior mirrors and a measurement of 1964 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the Volkswagen Polo in the category of small cars. This model from the year 2021 is 21 mm longer, has the same width and has the same height compared to the dimensions of the 2017 Volkswagen Polo.Do you like the trend of larger cars? 👍 👎",Boot space: 351 liters.
36,"The Mazda 2 has a length of 4080 mm, a height of 1495 mm, a width of 1695 mm without the exterior mirrors and a measurement of 2028 millimeters with the mirrors unfolded. Motorization: petrol and  petrol mild hybrid. Because of its exterior size, we classify the Mazda 2 in the category of small cars. This model from the year 2023 is the same size compared to the dimensions of the 2020 Mazda 2.Do you like the trend of larger cars? 👍 👎",Boot space: 255 liters.
37,"The Renault Zoe has a length of 4087 mm, a height of 1562 mm, a width of 1730 mm without the exterior mirrors and a measurement of 1945 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the Renault Zoe in the category of small cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Renault Zoe.Do you like the trend of larger cars? 👍 👎",Boot space: 338 liters.
38,"The Dacia Sandero has a length of 4088 mm, a height of 1499 mm, a width of 1848 mm without the exterior mirrors and a measurement of 2007 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its exterior size, we classify the Dacia Sandero in the category of small cars. This model from the year 2021 is 30 mm longer, 115 mm wider and 19 mm lower compared to the dimensions of the 2017 Dacia Sandero.Do you like the new generation size change? 👍 👎",Boot space: 328 liters.
39,"The Skoda Fabia has a length of 4108 mm, a height of 1459 mm, a width of 1780 mm without the exterior mirrors and a measurement of 1954 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the Skoda Fabia in the category of compact cars. This model from the year 2021  stands out for being 111 mm longer compared to the dimensions of the 2018 Skoda Fabia.Do you like the new generation size change? 👍 👎",Boot space: 380 liters.
40,"The Fiat 600 has a length of 4171 mm, a height of 1523 mm and a width of 1781 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the Fiat 600 in the category of compact cars.Do you like the trend of larger cars? 👍 👎",Boot space: 360 liters.
41,"The MINI Clubman has a length of 4253 mm, a height of 1441 mm, a width of 1800 mm without the exterior mirrors and a measurement of 1996 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its exterior size, we classify the MINI Clubman in the category of compact cars. This model from the year 2019 is the same size compared to the dimensions of the 2015 MINI Clubman.Do you like the trend of larger cars? 👍 👎",Boot space: 360 liters.
42,"The Volkswagen ID.3 has a length of 4261 mm, a height of 1562 mm, a width of 1809 mm without the exterior mirrors and a measurement of 2070 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the Volkswagen ID.3 in the category of compact cars. This new model is the same size compared to the dimensions of the 2020 Volkswagen ID.3.Do you like the trend of larger cars? 👍 👎",Boot space: 385 liters.
43,"The Volkswagen Golf has a length of 4284 mm, a height of 1456 mm, a width of 1789 mm without the exterior mirrors and a measurement of 2073 millimeters with the mirrors unfolded. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. The mild hybrid model is called Golf eTSI. The plug-in hybrid model is called Golf GTE and has a boot space of 272* liters. Because of its exterior size, we classify the Volkswagen Golf in the category of compact cars. This model from the year 2020 is 26 mm longer, has the same width and has the same height compared to the dimensions of the 2017 Volkswagen Golf.Do you like the trend of larger cars? 👍 👎",Boot space: 272* - 380 liters.
44,"The MG MG4 has a length of 4287 mm, a height of 1504 mm and a width of 1836 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the MG MG4 in the category of compact cars.Do you like the trend of larger cars? 👍 👎",Boot space: 363 liters.
45,"The Kia Ceed has a length of 4310 mm, a height of 1447 mm, a width of 1800 mm without the exterior mirrors and a measurement of 2055 millimeters with the mirrors unfolded. Motorization: petrol and  diesel mild hybrid. The mild hybrid model has a boot space of 357* liters. Because of its exterior size, we classify the Kia Ceed in the category of compact cars. This model from the year 2022 is the same size compared to the dimensions of the 2018 Kia Ceed.Do you like the trend of larger cars? 👍 👎",Boot space: 357* - 395 liters.
46,"The BMW 1 has a length of 4319 mm, a height of 1434 mm, a width of 1799 mm without the exterior mirrors and a measurement of 2081 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its exterior size, we classify the BMW 1 in the category of compact cars. This model from the year 2020 is 5 mm shorter, 34 mm wider and 13 mm higher compared to the dimensions of the 2017 BMW 1.Do you like the trend of larger cars? 👍 👎",Boot space: 380 liters.
47,"The CUPRA Born has a length of 4322 mm, a height of 1537 mm, a width of 1809 mm without the exterior mirrors and a measurement of 2070 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size, we classify the CUPRA Born in the category of compact cars.Do you like the trend of larger cars? 👍 👎",Boot space: 385 liters.
48,"The Hyundai i30 has a length of 4340 mm, a height of 1455 mm and a width of 1795 mm without the exterior mirrors. Motorization: diesel,  petrol,  diesel mild hybrid and  petrol mild hybrid. The mild hybrid model is called i30 48V. Because of its exterior size, we classify the Hyundai i30 in the category of compact cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Hyundai i30.Do you like the trend of larger cars? 👍 👎",Boot space: 395 liters.
49,"The Audi A3 Sportback has a length of 4343 mm, a height of 1430 mm, a width of 1816 mm without the exterior mirrors and a measurement of 1984 millimeters with the mirrors unfolded. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A3 Sportback TFSIe and has a boot space of 280* liters. Because of its exterior size, we classify the Audi A3 Sportback in the category of compact cars. This model from the year 2020 is 30 mm longer, 31 mm wider and has the same height compared to the dimensions of the 2016 Audi A3 Sportback.Do you like the new generation size change? 👍 👎",Boot space: 280* - 380 liters.
50,"The Renault Megane has a length of 4359 mm, a height of 1447 mm, a width of 1814 mm without the exterior mirrors and a measurement of 2058 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol plug-in hybrid. The hybrid model is called Mégane E-TECH Plug-in and has a boot space of 308* liters. Because of its exterior size, we classify the Renault Megane in the category of compact cars. This model from the year 2020 is the same size compared to the dimensions of the 2016 Renault Megane.Do you like the trend of larger cars? 👍 👎",Boot space: 308* - 384 liters.
51,"The Citroen C4 has a length of 4360 mm, a height of 1525 mm, a width of 1800 mm without the exterior mirrors and a measurement of 2032 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  electric. The electric model is called ë-C4. Because of its exterior size, we classify the Citroen C4 in the category of compact cars. This model from the year 2021 is 31 mm longer, 11 mm wider and 36 mm higher compared to the dimensions of the 2015 Citroen C4.Do you like the trend of larger cars? 👍 👎",Boot space: 380 liters.
52,"The Skoda Scala has a length of 4362 mm, a height of 1471 mm, a width of 1793 mm without the exterior mirrors and a measurement of 1988 millimeters with the mirrors unfolded. Motorization: petrol. Because of its exterior size, we classify the Skoda Scala in the category of compact cars. This new model is the same size compared to the dimensions of the 2019 Skoda Scala.Do you like the trend of larger cars? 👍 👎",Boot space: 467 liters.
53,"The Peugeot 308 has a length of 4367 mm, a height of 1441 mm, a width of 1852 mm without the exterior mirrors and a measurement of 2062 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol plug-in hybrid. The plug-in hybrid model is called 308 Hybrid and has a boot space of 361* liters. Because of its exterior size, we classify the Peugeot 308 in the category of compact cars. This model from the year 2022  stands out for being 114 mm longer compared to the dimensions of the 2017 Peugeot 308.Do you like the new generation size change? 👍 👎",Boot space: 361* - 412 liters.
54,"The Fiat Tipo 5-door has a length of 4368 mm, a height of 1495 mm, a width of 1792 mm without the exterior mirrors and a measurement of 2002 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its exterior size, we classify the Fiat Tipo 5-door in the category of compact cars. This model from the year 2021 is the same size compared to the dimensions of the 2016 Fiat Tipo 5-door.Do you like the trend of larger cars? 👍 👎",Boot space: 440 liters.
55,"The Seat Leon has a length of 4368 mm, a height of 1456 mm, a width of 1799 mm without the exterior mirrors and a measurement of 1992 millimeters with the mirrors unfolded. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. The mild hybrid model is called Leon eTSI. The plug-in hybrid model is called Leon e-Hybrid and has a boot space of 270* liters. Because of its exterior size, we classify the Seat Leon in the category of compact cars. This model from the year 2020  stands out for being 86 mm longer compared to the dimensions of the 2017 Seat Leon 5p.Do you like the new generation size change? 👍 👎",Boot space: 270* - 380 liters.
56,"The Toyota Corolla has a length of 4370 mm, a height of 1435 mm and a width of 1790 mm without the exterior mirrors. Motorization: petrol hybrid. Because of its exterior size, we classify the Toyota Corolla in the category of compact cars. This model from the year 2023 is the same size compared to the dimensions of the 2019 Toyota Corolla.Do you like the trend of larger cars? 👍 👎",Boot space: 361 liters.
57,"The Opel Astra has a length of 4374 mm, a height of 1470 mm, a width of 1860 mm without the exterior mirrors and a measurement of 2062 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol plug-in hybrid. The plug-in hybrid model has a boot space of 352* liters. Because of its exterior size, we classify the Opel Astra in the category of compact cars. This model from the year 2022 has the same length, 51 mm wider and 15 mm lower compared to the dimensions of the 2020 Opel Astra.Do you like the new generation size change? 👍 👎",Boot space: 352* - 422 liters.
58,"The Ford Focus has a length of 4382 mm, a height of 1471 mm, a width of 1825 mm without the exterior mirrors and a measurement of 1979 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its exterior size, we classify the Ford Focus in the category of compact cars. This model from the year 2022 has the same length, has the same width and 17 mm higher compared to the dimensions of the 2018 Ford Focus.Do you like the trend of larger cars? 👍 👎",Boot space: 392 liters.
59,"The CUPRA Leon has a length of 4398 mm, a height of 1442 mm, a width of 1799 mm without the exterior mirrors and a measurement of 1992 millimeters with the mirrors unfolded. Motorization: petrol,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called Leon e-Hybrid and has a boot space of 270* liters. Because of its exterior size, we classify the CUPRA Leon in the category of compact cars.Do you like the trend of larger cars? 👍 👎",Boot space: 270* - 380 liters.
60,"The DS DS4 has a length of 4400 mm, a height of 1490 mm and a width of 1830 mm without the exterior mirrors. Motorization: diesel,  petrol and  petrol plug-in hybrid. The plug-in hybrid model is called DS4 E-Tense and has a boot space of 390* liters. Because of its exterior size, we classify the DS DS4 in the category of compact cars. This model from the year 2021  stands out for being 116 mm longer compared to the dimensions of the 2016 DS DS4.Do you like the new generation size change? 👍 👎",Boot space: 390* - 439 liters.
61,"The Mercedes-Benz A has a length of 4419 mm, a height of 1440 mm, a width of 1796 mm without the exterior mirrors and a measurement of 1992 millimeters with the mirrors unfolded. Motorization: diesel,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A e and has a boot space of 310* liters. Because of its exterior size, we classify the Mercedes-Benz A in the category of family cars. This model from the year 2023 is the same size compared to the dimensions of the 2018 Mercedes-Benz A.Do you like the trend of larger cars? 👍 👎",Boot space: 310* - 355 liters.
62,"The Hyundai i30 Fastback has a length of 4455 mm, a height of 1425 mm and a width of 1795 mm without the exterior mirrors. Motorization: petrol,  diesel mild hybrid and  petrol mild hybrid. The mild hybrid model is called i30 Fastback 48V. Because of its exterior size, we classify the Hyundai i30 Fastback in the category of family cars. This model from the year 2020 is the same size compared to the dimensions of the 2018 Hyundai i30 Fastback.Do you like the trend of larger cars? 👍 👎",Boot space: 450 liters.
63,"The Mazda 3 has a length of 4460 mm, a height of 1435 mm and a width of 1795 mm without the exterior mirrors. Motorization: petrol mild hybrid. Because of its exterior size, we classify the Mazda 3 in the category of family cars. This model from the year 2019 is 10 mm shorter, has the same width and 30 mm lower compared to the dimensions of the 2017 Mazda 3.Do you like the trend of larger cars? 👍 👎",Boot space: 358 liters.
64,"The Hyundai IONIQ has a length of 4470 mm, a height of 1450 mm and a width of 1820 mm without the exterior mirrors. Motorization: petrol hybrid,  petrol plug-in hybrid and  electric. The plug-in hybrid model is called IONIQ plug-in and has a boot space of 341* liters. The electric model is called IONIQ electric and has a boot space of 357* liters. Because of its exterior size, we classify the Hyundai IONIQ in the category of family cars. This model from the year 2020 is the same size compared to the dimensions of the 2016 Hyundai IONIQ.Do you like the trend of larger cars? 👍 👎",Boot space: 341* - 456 liters.
65,"The Subaru Impreza has a length of 4475 mm, a height of 1480 mm, a width of 1775 mm without the exterior mirrors and a measurement of 2019 millimeters with the mirrors unfolded. Motorization: petrol and  petrol hybrid. The hybrid model is called Impreza e-Boxer and has a boot space of 340* liters. Because of its exterior size, we classify the Subaru Impreza in the category of family cars. This model from the year 2021 is the same size compared to the dimensions of the 2018 Subaru Impreza.Do you like the trend of larger cars? 👍 👎",Boot space: 340* - 385 liters.
66,"The Nissan Leaf has a length of 4480 mm, a height of 1540 mm and a width of 1790 mm without the exterior mirrors. Motorization: electric. Because of its exterior size, we classify the Nissan Leaf in the category of family cars. This model from the year 2018 is 35 mm longer, 20 mm wider and 10 mm lower compared to the dimensions of the 2013 Nissan Leaf.Do you like the new generation size change? 👍 👎",Boot space: 435 liters.
67,"The Audi A3 Sedan has a length of 4495 mm, a height of 1425 mm, a width of 1816 mm without the exterior mirrors and a measurement of 1984 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its exterior size, we classify the Audi A3 Sedan in the category of family cars. This model from the year 2020 is 37 mm longer, 20 mm wider and 9 mm higher compared to the dimensions of the 2016 Audi A3 Sedan.Do you like the new generation size change? 👍 👎",Boot space: 425 liters.
68,"The BMW 2 Gran Coupe has a length of 4526 mm, a height of 1420 mm, a width of 1800 mm without the exterior mirrors and a measurement of 2081 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its exterior size, we classify the BMW 2 Gran Coupe in the category of family cars.Do you like the trend of larger cars? 👍 👎",Boot space: 430 liters.
69,"The BMW 2 Coupe has a length of 4537 mm, a height of 1390 mm, a width of 1838 mm without the exterior mirrors and a measurement of 2068 millimeters with the mirrors unfolded. Motorization: petrol and  diesel mild hybrid. Because of its exterior size, we classify the BMW 2 Coupe in the category of family cars. This model from the year 2022  stands out for being 105 mm longer compared to the dimensions of the 2017 BMW 2 Coupe.Do you like the new generation size change? 👍 👎",Boot space: 390 liters.
70,"The Mercedes-Benz A Sedan has a length of 4549 mm, a height of 1446 mm, a width of 1796 mm without the exterior mirrors and a measurement of 1992 millimeters with the mirrors unfolded. Motorization: diesel,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A Sedan e and has a boot space of 345* liters. Because of its exterior size, we classify the Mercedes-Benz A Sedan in the category of family cars. This model from the year 2023 is the same size compared to the dimensions of the 2019 Mercedes-Benz A Sedan.Do you like the trend of larger cars? 👍 👎",Boot space: 345* - 405 liters.
